# Time-averaged data for fix dump_ke
# TimeStep c_calc_ke c_calc_pe
81600 374.939 -2623.63
81700 424.946 -2673.64
81800 391.179 -2639.88
81900 406.212 -2654.92
82000 403.09 -2651.8
82100 396.506 -2645.2
82200 404.075 -2652.78
82300 378.14 -2626.83
82400 404.762 -2653.47
82500 383.959 -2632.66
82600 393.355 -2642.06
82700 393.33 -2642.04
82800 380.903 -2629.59
82900 387.045 -2635.74
83000 393.996 -2642.69
83100 380.732 -2629.42
83200 377.674 -2626.37
83300 387.27 -2635.97
83400 398.374 -2647.07
83500 405.321 -2654.02
83600 382.542 -2631.24
83700 399.953 -2648.65
83800 379.381 -2628.07
83900 367.961 -2616.64
84000 387.43 -2636.12
84100 376.379 -2625.07
84200 382.483 -2631.19
84300 386.825 -2635.53
84400 398.025 -2646.73
84500 396.748 -2645.44
84600 395.83 -2644.53
84700 394.622 -2643.32
84800 388.793 -2637.5
84900 400.642 -2649.34
85000 378.89 -2627.59
85100 407.066 -2655.77
85200 420.341 -2669.04
85300 408.755 -2657.45
85400 374.49 -2623.18
85500 421.125 -2669.84
85600 378.967 -2627.66
85700 412.864 -2661.56
85800 385.166 -2633.86
85900 395.33 -2644.03
86000 420.763 -2669.46
86100 387.483 -2636.18
86200 394.272 -2642.97
86300 372.872 -2621.56
86400 407.079 -2655.79
86500 390.064 -2638.76
86600 390.017 -2638.71
86700 390.703 -2639.4
86800 381.193 -2629.88
86900 382.073 -2630.76
87000 424.09 -2672.81
87100 382.455 -2631.15
87200 386.301 -2634.99
87300 413.456 -2662.16
87400 394.282 -2642.99
87500 394.746 -2643.44
87600 397.898 -2646.6
87700 397.475 -2646.18
87800 380.749 -2629.44
87900 395.322 -2644.02
88000 417.64 -2666.34
88100 382.988 -2631.69
88200 396.203 -2644.9
88300 408.449 -2657.16
88400 389.09 -2637.78
88500 389.457 -2638.15
88600 409.494 -2658.19
88700 384.802 -2633.49
88800 381.479 -2630.18
88900 389.17 -2637.87
89000 389.305 -2638.01
89100 385.607 -2634.3
89200 380.895 -2629.59
89300 375.965 -2624.66
89400 388.126 -2636.81
89500 400.727 -2649.42
89600 400.318 -2649.03
89700 379.361 -2628.06
89800 404.795 -2653.5
89900 410.02 -2658.72
90000 407.603 -2656.3
90100 387.385 -2636.08
90200 399.379 -2648.08
90300 377.5 -2626.19
90400 378.667 -2627.36
90500 385.209 -2633.9
90600 398.582 -2647.29
90700 386.363 -2635.06
90800 393.784 -2642.49
90900 392.804 -2641.51
91000 394.625 -2643.32
91100 390.933 -2639.62
91200 400.605 -2649.3
91300 393.012 -2641.7
91400 379.667 -2628.35
91500 396.6 -2645.3
91600 395.534 -2644.23
91700 384.882 -2633.58
91800 380.196 -2628.9
91900 377.218 -2625.92
92000 396.373 -2645.07
92100 389.13 -2637.82
92200 382.335 -2631.03
92300 393.078 -2641.78
92400 390.463 -2639.16
92500 380.9 -2629.6
92600 393.321 -2642.01
92700 385.669 -2634.36
92800 407.096 -2655.8
92900 394.241 -2642.94
93000 404.35 -2653.05
93100 372.903 -2621.6
93200 385.525 -2634.22
93300 404.431 -2653.13
93400 411.419 -2660.12
93500 390.446 -2639.15
93600 392.452 -2641.14
93700 399.017 -2647.72
93800 386.592 -2635.29
93900 399.076 -2647.78
94000 372.973 -2621.66
94100 404.202 -2652.91
94200 397.178 -2645.88
94300 388.239 -2636.94
94400 386.333 -2635.03
94500 377.383 -2626.08
94600 407.684 -2656.38
94700 418.44 -2667.15
94800 388.266 -2636.97
94900 375.997 -2624.69
95000 406.52 -2655.22
95100 389.388 -2638.08
95200 401.7 -2650.4
95300 384.582 -2633.27
95400 388.952 -2637.65
95500 408.1 -2656.8
95600 405.817 -2654.52
95700 380.787 -2629.47
95800 412.967 -2661.67
95900 397.102 -2645.8
96000 382.426 -2631.12
96100 400.801 -2649.51
96200 386.946 -2635.64
96300 397.545 -2646.25
96400 384.797 -2633.5
96500 383.597 -2632.29
96600 407.21 -2655.9
96700 401.84 -2650.54
96800 395.946 -2644.64
96900 362.064 -2610.76
97000 392.55 -2641.25
97100 386.698 -2635.39
97200 398.857 -2647.56
97300 400.784 -2649.48
97400 388.498 -2637.2
97500 407.188 -2655.9
97600 377.518 -2626.21
97700 383.277 -2631.97
97800 370.793 -2619.49
97900 383.386 -2632.08
98000 379.442 -2628.14
98100 397.232 -2645.93
98200 373.623 -2622.32
98300 384.097 -2632.79
98400 401.444 -2650.14
98500 408.003 -2656.72
98600 401.877 -2650.57
98700 402.015 -2650.71
98800 384.528 -2633.22
98900 392.093 -2640.79
99000 390.675 -2639.37
99100 394.806 -2643.5
99200 385.172 -2633.87
99300 389.887 -2638.58
99400 392.853 -2641.54
99500 388.499 -2637.2
99600 402.093 -2650.8
99700 388.799 -2637.49
99800 386.268 -2634.96
99900 401.58 -2650.27
100000 377.566 -2626.26
